group,instance,n_customers,vehicle_capacity,depot_found,avg_demand,bbox_minx,bbox_miny,bbox_maxx,bbox_maxy,parsed_path,raw_path
C1,C101,100,,True,18.1,0.0,5.0,95.0,85.0,data/solomon_dataset\parsed\C1\C101.json,
C1,C102,100,,True,18.1,0.0,5.0,95.0,85.0,data/solomon_dataset\parsed\C1\C102.json,
C1,C103,100,,True,18.1,0.0,5.0,95.0,85.0,data/solomon_dataset\parsed\C1\C103.json,
C1,C104,99,,True,18.181818181818183,0.0,5.0,95.0,85.0,data/solomon_dataset\parsed\C1\C104.json,
C1,C105,100,,True,18.1,0.0,5.0,95.0,85.0,data/solomon_dataset\parsed\C1\C105.json,
C1,C106,100,,True,18.1,0.0,5.0,95.0,85.0,data/solomon_dataset\parsed\C1\C106.json,
C1,C107,100,,True,18.1,0.0,5.0,95.0,85.0,data/solomon_dataset\parsed\C1\C107.json,
C1,C108,100,,True,18.1,0.0,5.0,95.0,85.0,data/solomon_dataset\parsed\C1\C108.json,
C1,C109,100,,True,18.1,0.0,5.0,95.0,85.0,data/solomon_dataset\parsed\C1\C109.json,
C2,C201,100,,True,18.1,0.0,5.0,95.0,85.0,data/solomon_dataset\parsed\C2\C201.json,
C2,C202,100,,True,18.1,0.0,5.0,95.0,85.0,data/solomon_dataset\parsed\C2\C202.json,
C2,C203,100,,True,18.1,0.0,5.0,95.0,85.0,data/solomon_dataset\parsed\C2\C203.json,
C2,C204,100,,True,18.1,0.0,5.0,95.0,85.0,data/solomon_dataset\parsed\C2\C204.json,
C2,C205,100,,True,18.1,0.0,5.0,95.0,85.0,data/solomon_dataset\parsed\C2\C205.json,
C2,C206,100,,True,18.1,0.0,5.0,95.0,85.0,data/solomon_dataset\parsed\C2\C206.json,
C2,C207,100,,True,18.1,0.0,5.0,95.0,85.0,data/solomon_dataset\parsed\C2\C207.json,
C2,C208,100,,True,18.1,0.0,5.0,95.0,85.0,data/solomon_dataset\parsed\C2\C208.json,
R1,R101,100,,True,14.58,2.0,3.0,67.0,77.0,data/solomon_dataset\parsed\R1\R101.json,
R1,R102,100,,True,14.58,2.0,3.0,67.0,77.0,data/solomon_dataset\parsed\R1\R102.json,
R1,R103,100,,True,14.58,2.0,3.0,67.0,77.0,data/solomon_dataset\parsed\R1\R103.json,
R1,R104,100,,True,14.58,2.0,3.0,67.0,77.0,data/solomon_dataset\parsed\R1\R104.json,
R1,R105,100,,True,14.58,2.0,3.0,67.0,77.0,data/solomon_dataset\parsed\R1\R105.json,
R1,R106,100,,True,14.58,2.0,3.0,67.0,77.0,data/solomon_dataset\parsed\R1\R106.json,
R1,R107,100,,True,14.58,2.0,3.0,67.0,77.0,data/solomon_dataset\parsed\R1\R107.json,
R1,R108,100,,True,14.58,2.0,3.0,67.0,77.0,data/solomon_dataset\parsed\R1\R108.json,
R1,R109,100,,True,14.58,2.0,3.0,67.0,77.0,data/solomon_dataset\parsed\R1\R109.json,
R1,R110,100,,True,14.58,2.0,3.0,67.0,77.0,data/solomon_dataset\parsed\R1\R110.json,
R1,R111,100,,True,14.58,2.0,3.0,67.0,77.0,data/solomon_dataset\parsed\R1\R111.json,
R1,R112,100,,True,14.58,2.0,3.0,67.0,77.0,data/solomon_dataset\parsed\R1\R112.json,
R2,R201,100,,True,14.58,2.0,3.0,67.0,77.0,data/solomon_dataset\parsed\R2\R201.json,
R2,R202,100,,True,14.58,2.0,3.0,67.0,77.0,data/solomon_dataset\parsed\R2\R202.json,
R2,R203,100,,True,14.58,2.0,3.0,67.0,77.0,data/solomon_dataset\parsed\R2\R203.json,
R2,R204,100,,True,14.58,2.0,3.0,67.0,77.0,data/solomon_dataset\parsed\R2\R204.json,
R2,R205,100,,True,14.58,2.0,3.0,67.0,77.0,data/solomon_dataset\parsed\R2\R205.json,
R2,R206,100,,True,14.58,2.0,3.0,67.0,77.0,data/solomon_dataset\parsed\R2\R206.json,
R2,R207,100,,True,14.58,2.0,3.0,67.0,77.0,data/solomon_dataset\parsed\R2\R207.json,
R2,R208,100,,True,14.58,2.0,3.0,67.0,77.0,data/solomon_dataset\parsed\R2\R208.json,
R2,R209,100,,True,14.58,2.0,3.0,67.0,77.0,data/solomon_dataset\parsed\R2\R209.json,
R2,R210,100,,True,14.58,2.0,3.0,67.0,77.0,data/solomon_dataset\parsed\R2\R210.json,
R2,R211,100,,True,14.58,2.0,3.0,67.0,77.0,data/solomon_dataset\parsed\R2\R211.json,
RC1,RC101,100,,True,17.24,0.0,3.0,95.0,85.0,data/solomon_dataset\parsed\RC1\RC101.json,
RC1,RC102,100,,True,17.24,0.0,3.0,95.0,85.0,data/solomon_dataset\parsed\RC1\RC102.json,
RC1,RC103,100,,True,17.24,0.0,3.0,95.0,85.0,data/solomon_dataset\parsed\RC1\RC103.json,
RC1,RC104,100,,True,17.24,0.0,3.0,95.0,85.0,data/solomon_dataset\parsed\RC1\RC104.json,
RC1,RC105,100,,True,17.24,0.0,3.0,95.0,85.0,data/solomon_dataset\parsed\RC1\RC105.json,
RC1,RC106,100,,True,17.24,0.0,3.0,95.0,85.0,data/solomon_dataset\parsed\RC1\RC106.json,
RC1,RC107,100,,True,17.24,0.0,3.0,95.0,85.0,data/solomon_dataset\parsed\RC1\RC107.json,
RC1,RC108,100,,True,17.24,0.0,3.0,95.0,85.0,data/solomon_dataset\parsed\RC1\RC108.json,
RC2,RC201,100,,True,17.24,0.0,3.0,95.0,85.0,data/solomon_dataset\parsed\RC2\RC201.json,
RC2,RC202,100,,True,17.24,0.0,3.0,95.0,85.0,data/solomon_dataset\parsed\RC2\RC202.json,
RC2,RC203,100,,True,17.24,0.0,3.0,95.0,85.0,data/solomon_dataset\parsed\RC2\RC203.json,
RC2,RC204,100,,True,17.24,0.0,3.0,95.0,85.0,data/solomon_dataset\parsed\RC2\RC204.json,
RC2,RC205,100,,True,17.24,0.0,3.0,95.0,85.0,data/solomon_dataset\parsed\RC2\RC205.json,
RC2,RC206,100,,True,17.24,0.0,3.0,95.0,85.0,data/solomon_dataset\parsed\RC2\RC206.json,
RC2,RC207,100,,True,17.24,0.0,3.0,95.0,85.0,data/solomon_dataset\parsed\RC2\RC207.json,
RC2,RC208,100,,True,17.24,0.0,3.0,95.0,85.0,data/solomon_dataset\parsed\RC2\RC208.json,
